id,url,title,subtitle,image,claps,responses,reading_time,publication,date,category
2,https://towardsdatascience.com/hands-on-graph-neural-networks-with-pytorch-pytorch-geometric-359487e221a8,Hands-on Graph Neural Networks with PyTorch & PyTorch Geometric,,2.png,1100,11,9,Towards Data Science,2019-05-30,Technology & Software Development
4,https://towardsdatascience.com/databricks-how-to-save-files-in-csv-on-your-local-computer-3d0c70e6a9ab,Databricks: How to Save Files in CSV on Your Local Computer,When I work on Python projects dealing…,4.jpeg,354,0,4,Towards Data Science,2019-05-30,Technology & Software Development
5,https://towardsdatascience.com/a-step-by-step-implementation-of-gradient-descent-and-backpropagation-d58bda486110,A Step-by-Step Implementation of Gradient Descent and Backpropagation,One example of building neural…,5.jpeg,211,3,4,Towards Data Science,2019-05-30,Technology & Software Development
6,https://towardsdatascience.com/an-easy-introduction-to-sql-for-data-scientists-83363ae004b9,An Easy Introduction to SQL for Data Scientists,,6.jpeg,563,1,8,Towards Data Science,2019-05-30,Technology & Software Development
9,https://towardsdatascience.com/which-2020-candidate-is-the-best-at-twitter-fd083d13fb4e,Which 2020 Candidate is the Best at Twitter?,A Data Analysis of the 2020 Democratic Candidate Twitter Accounts,9.png,188,3,8,Towards Data Science,2019-05-30,Technology & Software Development
10,https://towardsdatascience.com/what-if-ai-model-understanding-were-easy-57ba21163d0e,What if AI model understanding were easy?,See  analytics-for-AI in action in this What-If Tool…,10.jpg,493,2,8,Towards Data Science,2019-05-30,Technology & Software Development
11,https://towardsdatascience.com/what-i-learned-from-abhishek-thakur-4b905ac0fd55,"<em class=""markup--em markup--h3-em"">What I Learned from (Two-time) Kaggle Grandmaster Abhishek Thakur</em>",Drawing insights from Abhishek…,11.jpg,370,0,5,Towards Data Science,2019-05-30,Art & Design
14,https://towardsdatascience.com/how-to-teach-code-a4d8ee29e14e,How to Teach Code,A Guide on the problems and solutions for teaching programming,14.jpeg,77,0,21,Towards Data Science,2019-05-30,Technology & Software Development
17,https://towardsdatascience.com/ideas-design-methodologies-for-data-sprints-9d10a32090e4,Ideas: Design Methodologies for Data Sprints,,17.jpg,56,0,8,Towards Data Science,2019-05-30,Technology & Software Development
19,https://towardsdatascience.com/data-science-interview-questions-ef87a3543b84,Data Science Interview Questions,and relevant reading.,19.jpeg,24,0,5,Towards Data Science,2019-05-30,Technology & Software Development
20,https://towardsdatascience.com/faster-training-of-efficient-cnns-657953aa080,Faster Training for Efficient CNNs,,20.png,155,0,3,Towards Data Science,2019-05-30,Technology & Software Development
21,https://towardsdatascience.com/buyers-beware-fake-product-reviews-are-plaguing-the-internet-cfc599c42b6b,"Buyers beware, fake product reviews are plaguing the internet. How Machine Learning can help to spot them.",,21.jpeg,333,3,5,Towards Data Science,2019-05-30,Technology & Software Development
22,https://towardsdatascience.com/objects-of-desire-a-talk-on-40-gigabytes-of-4chan-pol-r-braincels-and-r-theredpill-a4f4e36a4fad,"Objects of Desire: 40 gigabytes of 4chan/pol, r/Braincels, and r/TheRedPill",A conversation with Edgar…,22.gif,15,0,19,Towards Data Science,2019-05-30,Technology & Software Development
23,https://towardsdatascience.com/how-data-management-practice-enables-a-successful-implementation-of-single-customer-view-part-1-f9f508bddc85,"<strong class=""markup--strong markup--h3-strong"">How data management practice enables a successful implementation of single customer view?</strong>",,23.jpeg,52,0,4,Towards Data Science,2019-05-30,Technology & Software Development
25,https://uxdesign.cc/uxdesign-for-social-change-459203b5d3c1,UX for social change: a 5-step app design approach,,25.jpeg,239,1,6,UX Collective,2019-05-30,Art & Design
26,https://uxdesign.cc/music-is-an-experience-not-a-science-b5c303d51a70,"“Music is an experience, not a science.” — a UX case study",Ennio Morricone,26.png,881,1,8,UX Collective,2019-05-30,Science & Health
27,https://uxdesign.cc/starting-in-ux-after-40-4871b89d2c2b,Starting in UX after 40,A personal account.,27.jpeg,311,3,5,UX Collective,2019-05-30,Art & Design
28,https://uxdesign.cc/some-proposed-color-heuristics-a323e8fed5f3,Some proposed color heuristics,Usability guidelines for digital color use.,28.jpeg,194,1,6,UX Collective,2019-05-30,Technology & Software Development
29,https://uxdesign.cc/what-game-is-your-company-playing-2f83dd40c48e,What game is your company playing?,In the ,29.jpeg,272,0,7,UX Collective,2019-05-30,Business & Entrepreneurship
30,https://uxdesign.cc/experiences-that-delight-how-we-emotionally-engage-with-design-fc0f92292231,Experiences that delight: how we emotionally engage with design,,30.jpeg,218,0,6,UX Collective,2019-05-30,Art & Design
32,https://uxdesign.cc/reflection-point-usability-accessibility-and-ethics-in-user-experience-design-7f95e27b8273,"Reflection point: usability, accessibility, and ethics in UX",Great design is much more than just a…,32.jpg,135,0,4,UX Collective,2019-05-30,Art & Design
33,https://uxdesign.cc/building-high-quality-hypothesis-for-better-design-decision-3a18a8d00038,Building high-quality hypotheses for better design decisions,The scientific method in UX Design.,33.jpeg,287,1,5,UX Collective,2019-05-30,Art & Design
34,https://uxdesign.cc/design-culture-1-b27af7150c53,Creating a customer-obsessed design culture,This series of articles focuses on how to define and…,34.jpg,140,0,8,UX Collective,2019-05-30,Art & Design
35,https://uxdesign.cc/3-tips-for-successful-ux-research-fd7bc9e740ba,3 tips for successful UX Research,,35.jpeg,80,0,3,UX Collective,2019-05-30,Science & Health
36,https://uxdesign.cc/are-users-preferences-about-privacy-relevant-db573fb22610,Are users’ preferences about privacy relevant?,Design of user-interfaces with respect to privacy,36.jpg,25,0,4,UX Collective,2019-05-30,Art & Design
37,https://medium.com/swlh/i-just-shut-down-my-startup-heres-what-i-learned-2a57c0e98090,I just shut down my startup. Here’s what I learned.,,37.jpeg,5900,60,16,The Startup,2019-05-30,Business & Entrepreneurship
39,https://medium.com/swlh/how-to-retain-more-from-the-books-you-read-7eef814db987,How To Retain More From The Books You Read,Making sure you get the most out of reading.,39.png,11700,58,5,The Startup,2019-05-30,Technology & Software Development
44,https://medium.com/swlh/dont-wait-until-70-to-retire-here-s-why-a39eebdac7a,Don’t Wait Until 70 To Retire. Here’s Why.,,44.jpeg,36,1,6,The Startup,2019-05-30,Technology & Software Development
48,https://medium.com/swlh/get-it-published-5d7eefd30fd0,"Where, When, and How to Submit Your Writing",5 resources that get you published,48.jpeg,1800,15,5,The Startup,2019-05-30,Writing & Storytelling
51,https://medium.com/swlh/india-has-a-5b-digital-content-market-heres-how-netflix-can-dominate-it-6046506d7aad,India has a $5b digital content market,Here’s how Netflix can dominate India’s digital content market,51.png,51,1,6,The Startup,2019-05-30,Technology & Software Development
53,https://medium.com/swlh/the-dirty-business-of-yoga-8f05666b6f80,The (dirty) business of yoga,,53.jpeg,584,5,4,The Startup,2019-05-30,Business & Entrepreneurship
55,https://medium.com/swlh/nsx-t-security-with-ansible-pt1-basic-firewall-rules-6aa08c25e226,NSX-T Security with Ansible — Pt1. Basic Firewall Rules,Building the first playbook to drive the…,55.jpeg,16,0,6,The Startup,2019-05-30,Privacy & Digital Security
56,https://medium.com/swlh/neuroaesthetics-understanding-our-perception-of-beauty-eabf06fc65a3,Neuroaesthetics: Understanding Our Perception of Beauty.,,56.jpeg,124,2,6,The Startup,2019-05-30,Lifestyle & Culture
58,https://medium.com/swlh/routes-in-rails-326f63938521,Routes in Rails,,58.jpg,148,0,5,The Startup,2019-05-30,Technology & Software Development
63,https://medium.com/swlh/death-stranding-trailer-america-politics-f07bf815b7f1,Death Stranding Is About the Fracturing Soul of America,Hideo Kojima shows his political sensibilities…,63.png,50,0,9,The Startup,2019-05-30,Politics & Society
67,https://medium.com/swlh/i-was-miserable-as-a-suburban-stay-home-mom-4dc87c590292,I Was Miserable as a Suburban Stay-Home Mom,I left that life and never looked back,67.jpeg,289,1,4,The Startup,2019-05-30,Lifestyle & Culture
68,https://medium.com/swlh/talk-to-the-internet-with-ip-addresses-8f315ea28496,Talk to the Internet with IP Addresses,"Managing hundreds of IP addresses — across servers, load…",68.jpg,66,0,7,The Startup,2019-05-30,Technology & Software Development
70,https://medium.com/swlh/where-did-you-get-that-that-is-so-cool-an-ode-to-ancient-technology-that-is-getting-a-new-look-4b34a6978eaf,Where Did You Get That? That is SO COOL. An Ode to Ancient Technology That is Getting a New Look,,70.jpg,442,1,6,The Startup,2019-05-30,Technology & Software Development
72,https://medium.com/swlh/objectivity-is-the-most-important-design-skill-863aa6de5c78,Objectivity is the Most Important Design Skill,Objective Empathy in Human Centered Design,72.png,92,1,22,The Startup,2019-05-30,Art & Design
73,https://medium.com/swlh/oop-how-i-would-explain-it-to-my-grandmother-8e549180c6d0,OOP: how I would explain it to my grandmother,,73.jpg,56,1,6,The Startup,2019-05-30,Technology & Software Development
74,https://medium.com/swlh/understanding-menopause-how-can-technology-help-a7f5c00d3e4f,"<strong class=""markup--strong markup--h3-strong"">Understanding Menopause: How Can Technology Help?</strong>",,74.jpeg,77,0,7,The Startup,2019-05-30,Technology & Software Development
75,https://medium.com/swlh/curves-how-theyre-stored-in-computers-6211e2b0ed59,Curves & how they’re stored in computers,,75.png,132,0,4,The Startup,2019-05-30,Technology & Software Development
78,https://medium.com/swlh/heres-why-you-should-never-undermine-the-meaning-of-your-life-4415d36593c8,Here’s Why You Should Never Undermine the Meaning of Your Life,Identifying a few of the many reasons…,78.jpeg,337,3,6,The Startup,2019-05-30,Lifestyle & Culture
81,https://medium.com/swlh/the-threat-pointless-jobs-pose-to-workers-mental-health-82eb5370e7ea,"<strong class=""markup--strong markup--h3-strong"">The Threat ‘Pointless’ Jobs Pose to Workers’ Mental Health</strong>",,81.jpg,129,2,5,The Startup,2019-05-30,Science & Health
83,https://medium.com/swlh/how-to-succeed-at-hiring-8f0cb508c8cc,How To Succeed At Hiring,The key trait that all entrepreneurs and managers should be looking for in…,83.jpeg,288,1,10,The Startup,2019-05-30,Technology & Software Development
86,https://medium.com/swlh/food-engineering-is-booming-and-here-s-why-7e0744a5b31,‘Food Engineering’ is booming and here’s why,"When many tech unicorns’ IPOs took all the attention, a…",86.png,108,0,13,The Startup,2019-05-30,Technology & Software Development
